,评论,断句,方面词,情感词
201, 很成功的一次购物,1,购物,成功
202,非常不错的衬衣,1,衬衣,不错
203,🎈性价比超高,1,性价比,高
204,柔软有弹性,1,弹性,柔软
205,白色也不透,1,白色,不透
206,码数标准：🎃性价比也很高穿起来版型很好看,1,码数,标准
207,没有难闻的异味📫,1,异味,没有难闻
208,包装也很正规,1,包装,正规
209,衣服很板正,1,衣服,板正
210,自选喜欢的颜色,1,颜色,喜欢
211,面料是那种柔软有弹性的很赞,0,面料,柔软有弹性
212,衣服面料舒适,0,衣服面料,舒适
213,很高大上的一款T恤,0,T恤,高大上
214,特别特别的显身材,0,设计,显身材
215,尺码选的刚刚好,1,尺码,刚刚好
216,关键是价格也不贵,0,价格,不贵
217,穿起来很舒服&hellip;&hellip;,1,面料,舒服
218,T恤材质还可以的,0,T恤材质,还可以
219,短袖是棉的,0,棉,不错
220,码数不精确穿上有点大了,0,码数,不精确
221,东西是很好的,1,东西,好
222,这衣服真是物美价廉,1,衣服,物美价廉
223,总体来说不错果然一分钱一分货,0,总体,不错
224,总体来说不错,0,总体,不错
225,质量比这好多了,0,质量,好
226,做工也比较精细,1,做工,精细
227,面料贴肤舒服,1,面料,舒服
228,上身效果时尚休闲,1,上身,时尚休闲
229,感觉质量还不错,1,感觉,不错
230,手感无敌好,1,手感,好
231,穿175刚合适,1,尺码,合适
232,价格非常便宜,0,价格,便宜
233,质量已经不错了,0,质量,不错
234,价格比外面实惠,0,价格,实惠
235,上身效果：尺码准确,1,尺码,准确
236,上身非常舒服,1,上身,舒服
237,衣服特别的合身,0,衣服,合身
238,还有这个价格真的是太划算了,0,价格,划算
239,款式都挺好看的,0,款式,好看
240,性价比很高的了,0,性价比,很高
241,尺码正合适,0,尺码,正合适
242,尺码很准确,1,尺码,准确
243,摸着布料很柔软,1,布料,柔软
244,老板推荐的尺寸也刚好合适,1,尺寸,合适
245,尺码也可以,0,尺码,可以
246,材质特性棉的,1,材质,棉的
247,有型老公喜欢 尺码推荐：合适,1,尺码,合适
248,衣服太好看了吧,0,衣服,好看
249,朋友需要会介绍过来的T恤质量好,0,T恤质量,好
250,几个颜色搭配非常好,0,颜色搭配,好
251,性价比高宝贝本来是抱着试试看的心里买的,1,性价比,高
252,面料很舒服呢,1,面料,舒服
253,外观设计蛮好的,0,外观设计,蛮好
254,衣服面料摸起来舒服,0,衣服面料,舒服
255,衣服收到了夏天穿透气,0,衣服,透气
256,主要这个价位的衣服很划算了还那么好看,0,价位,划算
257,细节都处理的很好,0,细节,好
258,布料质量蛮好的,0,布料质量,蛮好
259,样式真的很不错,0,样式,不错
260,尺码偏胖加一码,1,尺码,偏胖
261,薄度刚刚好,0,薄度,刚刚好
262,🔪东西很好,0,东西,好
263,🎤面料也很棒,0,面料,很棒
264,图案不🎤花哨但是时尚,0,图案,时尚
265,布料手感好,0,布料手感,好
266,做工精细走线流畅,1,做工,精细
267,T恤质量还不错,1,T恤质量,不错
268,很合身价格实惠,1,价格,便宜
269,衣服也不厚,1,衣服,不厚
270,价格还实惠非常满意,1,价格,实惠
271,短袖面料很舒服,1,短袖面料,舒服
272,良心的产品,1,产品,良心
273,质感也很好,0,质感,好
274,整体穿上感觉还不错,0,整体,不错
275,穿着版型挺好看的,0,版型,好看
276,而且做工精细,0,做工,精细
277,衣服颜色都非常漂亮,0,衣服颜色,漂亮
278,价钱也很实惠,0,价钱,实惠
279,柔软舒适码标准,0,尺码,柔软
280,尺码标准很合身,1,尺码,标准
281,穿起来大方得体,1,设计,大方得体
282,码数刚好合适,1,码数,合适
283,而且价格也实惠哦,1,价格,实惠
284,老公穿上很显年经,1,设计,显年轻
285,料子非常柔软呀,1,料子,柔软
286,这个衣服的版型设计非常好的,1,版型设计,好
287,嘻嘻衣服颜色也是比较显皮肤,1,衣服颜色,显皮肤
288,搭黑色裤子都很好看,1,黑色裤子,好看
289,细节很到位,1,细节,到位
290,颜色正好是我喜欢的,1,颜色,喜欢
291,款式大方有型,1,款式,大方有型
292,服务也很到位,1,服务,到位
293,衣服质量还是不错滴,0,衣服质量,不错
294,衣服质量真的不错👍👍,0,衣服质量,不错
295,款式也非常好看,0,款式,好看
296,衣服质量真的是超乎想象的好,1,衣服质量,好
297,做工质量没问题,1,做工质量,没问题
298,白色的好透,0,白色,好透
299,衣服穿着很帅气,0,衣服,帅气
300,太划算了 质量也挺好的,0,质量,挺好的
301,面料特别好,1,面料,好
302,衣服超级喜欢,0,衣服,喜欢
303,款式好不错,1,款式,不错
304,上身很显瘦,1,上身,显瘦
305,版型宽松穿着舒服哦,1,版型,宽松
306,料子摸起来很是舒服,1,料子,舒服
307,T恤真的很好,1,T恤,好
308,这个价格真是太便宜了,1,价格,便宜
309,我都非常满意的这家质量很不错,1,质量,不错
310,质量方面没的说,1,质量,没的说
311,领口是有包边设计的,1,领口,包边设计
312,面料舒服还不错,1,面料,舒服
313,料子穿起来很舒服,0,料子,舒服
314,款式也很休闲百搭,0,款式,休闲百搭
315,上身效果穿上去挺精神的,0,上身效果,精神
316,自由搭配的颜色,1,颜色,自由
317,每个颜色我都喜欢,1,颜色,喜欢
318,这个价格能买过很实惠的,1,价格,实惠
319,码数大小刚好,1,码数大小,刚好
320,穿起来大小刚刚好,0,大小,刚刚好
321,质量也很好呀,0,质量,好
322,质量过关衣服比我想象的要好很多,1,质量,过关
323,这四件的材质都很好,1,材质,好
324,一次性买了几件性价比挺高的,1,性价比,高
325,尺码穿着合适,1,尺码,合适
326,上身非常的合适,0,上身,合适
327,衣服简洁美观,1,衣服,简洁美观
328,布料也很舒服,1,布料,舒服
329,这个价钱挺划算的,1,价钱,划算
330,款式简单大气,1,款式,简单大气
331,上身效果特别好,1,上身效果,好
332,衣服很好划算,1,衣服,好划算
333,便宜款式好看,1,款式,好看
334,质量非常好👍,0,质量,好
335,主要是该面料穿在身上的感觉太舒服了👍,0,面料,舒服
336,短袖质量超级好,1,短袖质量,好
337,版型也很满意,1,版型,满意
338,白的也很自然,1,白的,自然
339,真心不错的一款衬衣,1,衬衣,不错
340,衣型合🌹体,1,衣型,合体
341,穿着特别显瘦,1,设计,显瘦
342,面料也很舒适,1,面料,舒适
343,版型很有型,1,版型,有型
344,质量是纯棉的,1,质量,纯棉
345,很正大小合适,1,大小,合适
346,尺寸吗刚好,1,尺寸,刚好
347,爸爸穿上很凉快,1,布料,凉快
348,款式也时尚,1,款式,时尚
349,很好的料子,1,料子,很好
350,而且起球非常严重,1,起球,严重
351,爸爸说蛮好的 做人聪不聪明其实不重要,1,价位,蛮好
352,面料夏天穿挺好,1,面料,好
353,衣服有明显色差,0,衣服,色差
354,料子都特别好,1,料子,好
355,面料也还好,0,面料,还好
356,衣服穿着大小合适,0,大小,合适
357,衣服款式好,1,衣服款式,好
358,款式和质量也不错,1,款式,不错
359,手感柔软舒适,0,手感,柔软
360,料子蛮舒服的,0,料子,舒服
361,大小尺寸刚刚好,0,尺寸,刚刚好
362,质量真**垃圾,1,质量,垃圾
363,尺码推荐：爸爸穿着很合适,0,尺码,合适
364,衣服很好穿的不起球,0,衣服,不起球
365,面料特别的好,0,面料,好
366,爸爸说很凉快,1,布料,凉快
367,试穿很合适,1,尺码,合适
368,料子感觉可以,1,料子,可以
369,宝贝也不错,1,宝贝,不错
370,大家可以踊跃购买,1,服装,踊跃
371,给老爸买的礼物,1,礼物,舒服
372,感觉质量也还可以,1,质量,可以
373,据说穿着大小刚刚好,1,大小,刚刚好
374,满意材质特性：凉快,1,材质,凉快
375,就是面料不太好,1,面料,不太好
376,衣服穿起来刚刚好,1,衣服,刚刚好
377,衣服摸着舒服,1,衣服,舒服
378,老爸穿着很舒服,1,面料,舒服
379,料子很舒服,1,料子,舒服
380,就是物流太慢了,0,物流,太慢
381,衣服款式很漂亮,0,衣服款式,漂亮
382,爸爸特别喜欢大小尺码刚刚好,0,尺码,刚刚好
383, 整体评价：不错,0,整体,不错
384,价位也很便宜,0,价位,便宜
385,码数挺标准的,0,码数,标准
386,价钱算起来实惠,0,价钱,实惠
387,买回来颜色不喜欢,0,颜色,不喜欢
388,价钱也合适,1,价钱,合适
389,丅恤衫质量好,1,恤衫质量,好
390,总体还行吧,1,总体,还行
391,面料还可以,0,面料,可以
392,尺码也很标准 老爸穿着很是满意 很开心的一次选购,0,尺码,标准
393,物品描述吻合度较高,1,吻合度,高
394,老爸穿上很显年轻,0,设计,显年轻
395,衣服质量不好,0,衣服质量,不好
396,料子很柔软,0,料子,柔软
397,公公穿上很合适也凉快,0,尺码,合适
398,面料还是依然的好,0,面料,好
399,妈妈说质量好,0,质量,好
400,颜色挺好的了,0,颜色,挺好
401,很凉爽的衣服,0,衣服,凉爽
402,不错物美价廉,0,衣服,不错
403,爸爸穿起来很合适,1,尺码,合适
404,质量特别不好,0,质量,不好
405,面料会粘身,1,面料,粘身
406,款式可以的,1,款式,可以
407,穿着非常凉快,1,布料,凉快
408,整体评价：感觉衣服非常好,0,整体,好
409,质量很好👌,0,质量,好
410,布料质量不错,0,布料质量,不错
411,衣服质量很不错,0,衣服质量,不错
412,凉快的料子,1,料子,凉快
413,爸爸穿的挺合适,0,尺码,合适
414,面料是冰凉面料,1,面料,冰凉
415,手感很不错,1,手感,不错
416,东西非常不错,0,东西,不错
417,布料摸起来很好,0,布料,好
418,质量还看得过去,0,质量,看得过去
419,主要价格比较实惠,1,价格,实惠
420,码数有点不准,0,码数,不准
421,老爸穿的大小合适,0,大小,合适
422,衣服面料还可以呢,0,衣服面料,可以
423,而且夏天穿肯定凉快,1,布料,凉快
424,而且码数不一致的,1,码数,不一致
425,价格也适合,1,价格,适合
426,老爸面料蛮舒服的,1,面料,舒服
427,面料摸着滑滑的,1,面料,滑滑的
428,穿着应该会凉快吧,1,布料,凉快
429,整体评价：非常的好,1,整体,好
430,料子又比较凉快柔软,1,料子,凉快
431,质量真的真的非常好,1,质量,好
432,做工也很精细,1,做工,精细 
433,而且价格真的很实惠,1,价格,实惠
434, 衣服质量特别好,1,衣服,好
435,这短袖质量简直太好了,1,短袖质量,好
436,衣服毫无色差,1,衣服,毫无色差
437,穿着很显年轻,1,设计,显年轻
438,这价钱简直太值了,0,价钱,太值
439,衣服質量超好,0,衣服質量,好
440,质量还是一如既往的好,1,质量,好
441,款式新颖洋气,0,款式,新颖洋气
442,料子也不错呢~~~~~喜欢的可以下手了,0,料子,不错
443,但是比较便宜这样也还说的过去,0,价格,便宜
444,说布料穿上不怎么舒服,0,布料,不怎么舒服
445,他说穿着很舒服,1,面料,舒服
446,衣服面料舒适柔软,1,衣服面料,舒适柔软
447,码数刚刚合身,1,码数,合身
448,面料是比较轻薄透气型,1,面料,轻薄透气型
449,料子很有质感,1,料子,有质感
450,摸着凉凉的舒服,1,面料,舒服
451,衣服质量非常差劲,1,衣服质量,差劲
452,感觉一般般,1,感觉,一般般
453,没想到这衣服质量这么差劲,0,衣服质量,差劲
454,色差太大了,0,色差,太大
455,还担心大小不合适,0,大小,不合适
456,样子质量都很好,1,质量,好
457,大小说合适,1,大小,合适
458,不过料子很喜欢,1,料子,喜欢
459,&hellip;质量好,0,质量,好
460,黑色的确实很不错,0,黑色,不错
461,码数刚刚好的,0,码数,好
462,质量挺好的挺满意,1,质量,满意
463,尺码合适的,1,尺码,合适
464,款式还可以吧,0,款式,还可以
465,号码很合适很标准,0,号码,标准
466,面料挺柔软,0,面料,柔软
467,买了两条短裤搭配着穿效果也很不错,1,短裤,不错
468,这衣服质量太差了,0,衣服质量,太差
469,穿在身上透气凉快,0,透气,凉快
470,老爸上身效果不错,1,效果,不错
471,爸爸说穿着很合适,1,尺码,合适
472,面料摸着还比较舒服,0,面料,舒服
473,价格太实惠了,0,价格,便宜
474,爸爸穿上非常合适,0,尺码,合适
475,做工较细致款式是物有所值的一件衣衣,1,款式,细致
476,802款面料挺好的,1,面料,好
477,面料品质：料子不错,1,料子,不错
478,爸爸说料子很舒服,1,料子,舒服
479,衣服手感 很好,0,衣服手感,好
480,做工有点粗糙,1,做工,粗糙
481,买回去给老爸的质量不错,1,质量,不错
482,我没看到实物,0,实物,舒服
483,整体款式好看,0,款式,好看
484,质量很不错哦,1,质量,不错
485,衣服的尺码确实偏小,1,尺码,偏小
486,确实性价比不错,1,性价比,不错
487,这款t恤质量很好,0,t恤质量,好
488,很满意面料舒服,0,面料,舒服
489,[玫瑰]面料不起球,0,面料,不起球
490,很有韧性[玫瑰]也很时尚,0,设计,时尚
491,舒适性也不错约大方,0,舒适性,不错
492,[玫瑰]尺寸大小标准,0,尺寸,标准
493,码数也刚好合身,0,码数,合身
494,🌺贴身舒服特别喜欢质量🌴不错,0,质量,不错
495,款式看着挺不错的,1,款式,不错
496,面料质感也挺不错的,1,质感,不错
497,T恤面料柔软舒适,0,T恤面料,柔软
498,透气性不错,1,透气性,不错
499,不褪色挺好的,0,不褪色,挺好
500,尺码：很合身,0,尺码,合适
501,做工很好又精细,0,做工,精细
502,衣服大小合身,0,衣服大小,合身
503,穿起来舒服好看,0,面料,舒服
504,穿上舒适合身,0,舒适,合身
505,包装都正规的,0,包装,正规
506,质量非常满意,0,质量,满意
507,尺寸也刚刚好,1,尺寸,刚刚好
508,质量真的也很好,1,质量,好
509,面料较厚实,1,面料,厚实
510,透气性不错🌹🌹🌹🌹🌹,1,透气性,不错
511,穿起来很舒服也好看,1,面料,舒服
512,这么便宜买到了好货,1,价格,便宜
513,颜色不一样,0,颜色,不一样
514,虽然价格实惠哦,0,价格,实惠
515,穿着舒服透气,0,衣服,舒服透气
516,买回来觉得还不错,0,衣服,不错
517,这面料纯棉的,1,面料,纯棉
518,这个价格还行,1,价格,还行
519,不过质量不错(*๓&acute;╰╯`๓)♡,1,质量,不错
520,T恤简直是百搭呢,1,T恤,百搭
521,特别喜欢这种T恤,0,T恤,喜欢
522,但是很容易买到版型不好看的,1,版型,不好看
523,或者是质量一般般洗了几次就变形的,0,质量,一般般
524,但是这一个质量挺好的呢推荐大家购买呢,0,质量,挺好
525,质量也还不错,1,质量,不错
526,说东西蛮不错的,1,东西,不错
527,衣服挺不错的,1,衣服,不错
528,感觉是纯棉的料子,0,料子,纯棉
529,这次体验很不满意,0,体验,不满意
530,没想到价格便宜,1,价格,便宜
531,穿在身上大小合适,1,大小,合适
532,性价比高值得购买,0,性价比,高
533,质量可以是纯棉料,1,质量,可以
534,价格便宜很实惠,1,价格,实惠
535,一洗就变色,1,面料,变色
536,衣服上面的图案轻轻一搓就掉了,0,图案,掉了
537,价格实惠穿着挺好,0,价格,实惠
538,孩子上身很合适,0,尺码,合适
539,穿着也合适,1,尺码,合适
540,质量相当不错,1,质量,不错
541,毕竟价位便宜,0,价位,便宜
542,衣服码数不标准,0,衣服码数,不标准
543,买家服务态度很好,0,服务态度,好
544,没想到这价钱买这么好的衣服,1,价钱,好
545,质量居然这么好,0,质量,好
546,质量是真的好,0,质量,好
547,穿上正好合适,0,尺码,合适
548,纯棉的面料,1,面料,纯棉
549,宝贝质量很不错,0,质量,不错
550,8量：产品总体不错,1,总体,不错
551,先说商f1品质量：产品总体不错,1,质量,不错
552,儿子喜欢这个大熊猫图案,1,图案,不错
553,穿上特别舒服,0,面料,舒服
554,质量棒棒哒,0,质量,棒棒哒
555,尺码不标准,1,尺码,不标准
556,宝贝非常不错哦,1,宝贝,不错
557,质量也很好老公说很好,1,质量,好
558,不舒服上身,1,上身,不舒服
559,材质特性：好 上身效果：好,0,材质,好
560,上身效果也挺好的,1,上身,挺好
561, 上身效果：挺好看的,1,上身,好看
562, 厚薄度：厚薄适中,0,厚薄度,厚薄适中
563,穿着能舒服,1,面料,舒服
564,总体来说还是可以的,1,总体,不错
565,值得购买质量一般吧,1,质量,一般
566,衣服挺合身的,0,衣服,合身
567,就是感觉不咋透气,0,感觉,不咋透气
568,整体评价：还行 材质特性：棉的,0,材质,棉的
569,面料不错是纯棉,0,面料,不错
570,尺码大小标准,1,尺码,标准
571,看评价里说这款T恤偏小,1,T恤,偏小
572,  包装也不错,0,包装,不错
573,己穿上刚合适,1,尺码,合适
574,穿上舒服透气,0,面料,舒服透气
575,不要买质量太差了,0,质量,太差
576,衣服有很多缺陷左右还不对称,0,衣服,不对称
577,试穿大小也刚合适,0,大小,合适
578,物流很给力,0,物流,给力
579,质量还可以毕竟不是很贵,1,质量,可以
580,夏季穿着会凉快的那种布料,1,布料,凉快
581,纯棉得质量不错,1,质量,不错
582,面料是纯棉,0,面料,纯棉
583,这物流公司太差劲了👎,0,物流公司,差劲
584,摸上去质感不错,1,质感,不错
585,料子很不错的,1,料子,不错
586,推荐：正规码 厚薄度：适中 ,0,厚薄度,适中
587,面料品质：透气,1,面料,透气
588,出点汗就不舒服,1,面料,不舒服
589,t恤舒适透气,1,t恤,舒适透气
590,面料品质：真心的不褪色 给老公买的,1,面料,不褪色
591,质量杠杠滴,1,质量,杠杠滴
592,是纯棉的透气,1,纯棉,透气
593,总体满意吧,0,总体,满意
594,质量不太好,1,质量,不太好
595, 穿着很舒服的,1,面料,舒服
596,买了两件和老公当情侣装穿 还不贵哦 喜欢的赶快买吧,1,价格,不贵
597,尺码也标准,0,尺码,标准
598,衣服布料是纯棉的,0,衣服布料,纯棉
599,这么便宜能买上这样的衣服,1,衣服,便宜
600,东西挺不错,0,东西,不错
601,衣服质量不错&hellip;全棉的&hellip;好看,1,衣服质量,不错
602,穿着很合适,0,尺码,合适
603,布料也很好很满意,0,布料,满意
604,就是号比较偏小,0,号,偏小
605,穿上挺合适的,0,尺码,合适
606,好看质量不错,0,质量,不错
607,版型也好看,0,版型,好看
608,大概是纯棉的穿着舒服,1,纯棉,舒服
609,印花好看看起来挺好的,1,印花,挺好
610,衣服是纯棉的,1,衣服,纯棉
611,这个t衣服布料不透明,1,衣服布料,不透明
612,上身效果很满意,1,上身,满意
613,衣服质量挺好,1,衣服质量,好
614,老公穿着大小合适,1,大小,合适
615,棉质面料柔软舒适 ,1,棉质,柔软舒适
616,尺码标准刚好合适,1,尺码,合适
617,整体评价：衣服质量还行吧,1,衣服质量,还行
618,宝贝非常满意,0,宝贝,满意
619,整体评价：觉得就挺一般的,1,整体,一般
620,半袖是纯棉的,0,半袖,纯棉
621,做工精细工整,0,工整,精细
622,料子柔软舒适,0,料子,柔软舒适
623,穿着舒服合身,0,面料,舒服
624,透气性好,0,透气性,好
625,料子挺透的,0,料子,挺透的
626,穿上衣服面料很舒服,0,衣服,舒服
627,衣服太短了,0,衣服,太短
628,料子也就一般,1,料子,一般
629,这么便宜质量还这么好,0,质量,好
630,衣服面料挺好的 纯棉,0,衣服面料,挺好
631,根本不会看你选的图案是什么,0,图案,根本
632,摸起来手感很好,0,手感,好
633,纯棉T恤质量不错,1,质量,不错
634,做工也蛮精细,0,做工,精细
635,穿着宽松一些,0,布料,宽松
636,大小刚合适,0,大小,合适
637,性价比高不错挺好,1,性价比,高
638,衣服质量超级好,1,衣服,好
