,评论,评论号,评价对象,情感词
202,这个价格真是太便宜了,1,价格,便宜
203,我都非常满意的这家质量很不错,1,质量,不错
204,领口是有包边设计的,0,领口,包边设计
205,面料舒服还不错,0,面料,舒服
206,料子穿起来很舒服,0,料子,舒服
207,款式也很休闲百搭,0,款式,休闲百搭
208,自由搭配的颜色,1,颜色,自由
209,每个颜色我都喜欢,1,颜色,喜欢
210,这个价格能买过很实惠的,1,价格,实惠
211,质量过关衣服比我想象的要好很多,0,质量,过关
212,一次性买了几件性价比挺高的,1,性价比,高
213,上身非常的合适,0,上身,合适
214,布料也很舒服,1,布料,舒服
215,款式简单大气,0,款式,简单大气
216,上身效果特别好,0,上身效果,好
217,衣服很好划算,0,衣服,好划算
218,质量非常好👍,1,质量,好
219,短袖质量超级好,0,短袖质量,好
220,版型也很满意,0,版型,满意
221,白的也很自然,0,白的,自然
222,真心不错的一款衬衣,0,衬衣,不错
223,穿着特别显瘦,1,设计,显瘦
224,面料也很舒适,1,面料,舒适
225,版型很有型,1,版型,有型
226,很正大小合适,0,大小,合适
227,尺寸吗刚好,0,尺寸,刚好
228,款式也时尚,1,款式,时尚
229,很好的料子,1,料子,好
230,而且起球非常严重,1,起球,严重
231,面料夏天穿挺好,0,面料,好
232,衣服有明显色差,0,衣服,色差
233,料子都特别好,0,料子,好
234,衣服穿着大小合适,1,大小,合适
235,衣服款式好,1,衣服款式,好
236,手感柔软舒适,0,手感,柔软舒适
237,料子蛮舒服的,0,料子,舒服
238,大小尺寸刚刚好,0,大小尺寸,好
239,质量真**垃圾,0,质量,垃圾
240,衣服很好穿的不起球,1,衣服,起球
241,面料特别的好,1,面料,好
242,爸爸说很凉快,1,布料,凉快
243,试穿很合适,1,尺码,合适
244,感觉质量也还可以,1,质量,可以
245,据说穿着大小刚刚好,1,大小,好
246,满意材质特性：凉快,1,材质特性,满意
247,衣服穿起来刚刚好,0,衣服,好
248,衣服摸着舒服,0,衣服,舒服
249,料子很舒服,1,料子,舒服
250,就是物流太慢了,1,物流,慢
251,衣服款式很漂亮,1,衣服款式,漂亮
252, 整体评价：不错,0,整体评价,不错
253,价位也很便宜,0,价位,便宜
254,码数挺标准的,0,码数,标准
255,价钱算起来实惠,0,价钱,实惠
256,价钱也合适,1,价钱,合适
257,丅恤衫质量好,1,T恤衫质量,好
258,面料还可以,0,面料,可以
259,尺码也很标准 老爸穿着很是满意 很开心的一次选购,0,尺码,标准
260,老爸穿上很显年轻,1,设计,显年轻
261,衣服质量不好,1,衣服质量,好
262,料子很柔软,1,料子,柔软
263,面料还是依然的好,0,面料,好
264,妈妈说质量好,0,质量,好
265,不错物美价廉,0,衣服,不错
266,质量特别不好,1,质量,好
267,穿着非常凉快,1,布料,凉快
268,整体评价：感觉衣服非常好,1,衣服,好
269,质量很好👌,1,质量,好
270,布料质量不错,1,布料质量,不错
271,爸爸穿的挺合适,1,尺码,合适
272,面料是冰凉面料,1,面料,冰凉
273,东西非常不错,0,东西,不错
274,布料摸起来很好,0,布料,好
275,主要价格比较实惠,0,价格,实惠
276,码数有点不准,0,码数,准
277,衣服面料还可以呢,1,衣服面料,可以
278,而且夏天穿肯定凉快,1,布料,凉快
279,而且码数不一致的,1,码数,不一致
280,老爸面料蛮舒服的,0,面料,舒服
281,面料摸着滑滑的,0,面料,滑滑的
282,穿着应该会凉快吧,0,布料,凉快
283,料子又比较凉快柔软,1,料子,凉快
284,做工也很精细,0,做工,精细 
285,而且价格真的很实惠,0,价格,实惠
286, 衣服质量特别好,0,衣服,好
287,这短袖质量简直太好了,0,短袖质量,好
288,穿着很显年轻,1,设计,显年轻
289,这价钱简直太值了,1,价钱,值
290,衣服質量超好,1,衣服質量,好
291,款式新颖洋气,0,款式,新颖洋气
292,料子也不错呢~~~~~喜欢的可以下手了,0,料子,不错
293,但是比较便宜这样也还说的过去,0,价格,便宜
294,说布料穿上不怎么舒服,0,布料,舒服
295,码数刚刚合身,0,码数,合身
296,面料是比较轻薄透气型,0,面料,轻薄透气型
297,摸着凉凉的舒服,1,面料,舒服
298,没想到这衣服质量这么差劲,0,衣服质量,差劲
299,色差太大了,0,色差,大
300,还担心大小不合适,0,大小,合适
301,大小说合适,1,大小,合适
302,不过料子很喜欢,1,料子,喜欢
303,&hellip;质量好,1,质量,好
304,码数刚刚好的,0,码数,好
305,质量挺好的挺满意,0,质量,满意
306,款式还可以吧,1,款式,可以
307,面料挺柔软,0,面料,柔软
308,买了两条短裤搭配着穿效果也很不错,0,短裤,不错
309,穿在身上透气凉快,1,透气,凉快
310,老爸上身效果不错,1,上身效果,不错
311,面料摸着还比较舒服,0,面料,舒服
312,价格太实惠了,0,价格,实惠
313,802款面料挺好的,0,面料,好
314,面料品质：料子不错,0,料子,不错
315,爸爸说料子很舒服,0,料子,舒服
316,衣服手感 很好,0,衣服手感,好
317,买回去给老爸的质量不错,1,质量,不错
318,我没看到实物,1,实物,好看
319,质量很不错哦,0,质量,不错
320,衣服的尺码确实偏小,0,尺码,小
321,这款t恤质量很好,1,t恤质量,好
322,[玫瑰]面料不起球,0,面料,起球
323,很有韧性[玫瑰]也很时尚,0,设计,时尚
324,[玫瑰]尺寸大小标准,1,尺寸,标准
325,码数也刚好合身,1,码数,合身
326,款式看着挺不错的,0,款式,不错
327,面料质感也挺不错的,0,面料质感,不错
328,T恤面料柔软舒适,0,T恤面料,柔软
329,不褪色挺好的,1,不褪色,好
330,尺码：很合身,1,尺码,合适
331,衣服大小合身,0,衣服大小,合身
332,穿起来舒服好看,0,面料,舒服
333,包装都正规的,1,包装,正规
334,质量非常满意,1,质量,满意
335,尺寸也刚刚好,1,尺寸,好
336,面料较厚实,0,面料,厚实
337,穿起来很舒服也好看,1,面料,舒服
338,这么便宜买到了好货,1,价格,便宜
339,颜色不一样,1,颜色,一样
340,虽然价格实惠哦,1,价格,实惠
341,买回来觉得还不错,0,衣服,不错
342,这面料纯棉的,0,面料,纯棉
343,T恤简直是百搭呢,0,T恤,百搭
344,特别喜欢这种T恤,0,T恤,喜欢
345,但是很容易买到版型不好看的,0,版型,好看
346,但是这一个质量挺好的呢推荐大家购买呢,1,质量,好
347,质量也还不错,1,质量,不错
348,说东西蛮不错的,1,东西,不错
349,感觉是纯棉的料子,0,料子,纯棉
350,这次体验很不满意,0,体验,满意
351,没想到价格便宜,0,价格,便宜
352,穿在身上大小合适,0,大小,合适
353,价格便宜很实惠,0,价格,实惠
354,价格实惠穿着挺好,0,价格,实惠
355,孩子上身很合适,0,尺码,合适
356,穿着也合适,0,尺码,合适
357,质量相当不错,0,质量,不错
358,衣服码数不标准,1,衣服码数,标准
359,买家服务态度很好,1,服务态度,好
360,没想到这价钱买这么好的衣服,1,价钱,好
361,质量居然这么好,1,质量,好
362,穿上正好合适,0,尺码,合适
363,纯棉的面料,0,面料,纯棉
364,宝贝质量很不错,0,质量,不错
365,儿子喜欢这个大熊猫图案,0,图案,喜欢
366,穿上特别舒服,0,面料,舒服
367,宝贝非常不错哦,0,宝贝,不错
368,不舒服上身,1,上身,舒服
369,材质特性：好 上身效果：好,1,材质,好
370,上身效果也挺好的,1,上身效果,好
371, 上身效果：挺好看的,1,上身效果,好看
372,穿着能舒服,0,面料,舒服
373,总体来说还是可以的,0,总体,不错
374,值得购买质量一般吧,0,质量,一般
375,衣服挺合身的,0,衣服,合身
376,尺码大小标准,0,尺码,标准
377,  包装也不错,1,包装,不错
378,己穿上刚合适,1,尺码,合适
379,不要买质量太差了,0,质量,差
380,衣服有很多缺陷左右还不对称,0,衣服,对称
381,物流很给力,1,物流,给力
382,质量还可以毕竟不是很贵,1,质量,可以
383,夏季穿着会凉快的那种布料,1,布料,凉快
384,面料是纯棉,0,面料,纯棉
385,这物流公司太差劲了👎,0,物流公司,差劲
386,面料品质：透气,1,面料,透气
387,t恤舒适透气,0,t恤,舒适透气
388,质量杠杠滴,1,质量,杠杠滴
389,是纯棉的透气,1,纯棉,透气
390,总体满意吧,1,总体,满意
391,质量不太好,1,质量,好
392,买了两件和老公当情侣装穿 还不贵哦 喜欢的赶快买吧,0,价格,贵
393,衣服布料是纯棉的,1,衣服布料,纯棉
394,东西挺不错,0,东西,不错
395,衣服质量不错&hellip;全棉的&hellip;好看,0,衣服质量,不错
396,穿着很合适,0,尺码,合适
397,布料也很好很满意,0,布料,满意
398,穿上挺合适的,1,尺码,合适
399,版型也好看,0,版型,好看
400,印花好看看起来挺好的,1,印花,好
401,衣服是纯棉的,1,衣服,纯棉
402,上身效果很满意,0,上身效果,满意
403,衣服质量挺好,0,衣服质量,好
404,老公穿着大小合适,0,大小,合适
405,棉质面料柔软舒适 ,0,棉质,柔软舒适
406,整体评价：衣服质量还行吧,1,衣服质量,行
407,宝贝非常满意,1,宝贝,满意
408,半袖是纯棉的,0,半袖,纯棉
409,做工精细工整,0,工整,精细
410,料子柔软舒适,0,料子,柔软舒适
411,穿着舒服合身,0,面料,舒服
412,料子挺透的,1,料子,透
413,料子也就一般,1,料子,一般
414,这么便宜质量还这么好,1,质量,好
415,衣服面料挺好的 纯棉,1,衣服面料,好
416,根本不会看你选的图案是什么,1,图案,好看
417,纯棉T恤质量不错,0,质量,不错
418,做工也蛮精细,0,做工,精细
419,穿着宽松一些,0,布料,宽松
420,大小刚合适,0,大小,合适
421,衣服质量超级好,1,衣服,好
422,做工也不错真心不错,1,做工,不错
423, 尺码推荐：尺码偏小,0,尺码,小
424,纯棉很舒服,1,纯棉,舒服
425,透气好,1,透气,好
426,纯棉的手感很好,1,手感,好
427,给老公买的质量也不错好评,0,质量,不错
428,料子的触感没有去年柔软,0,触感,柔软
429,就是发货时间太长了,1,发货时间,太长
430,版型一般,0,版型,一般
431,衣服质量还不错的,0,衣服质量,不错
432,质量有保障,1,质量,有保障
433,样子也漂亮,0,样子,漂亮
434,整体评价：质感可以,0,质感,可以
435,短袖质量好,0,质量,好
436,应该是尺码偏小一点儿,0,尺码,小
437,穿着透气舒适,1,布料,透气
438, 上身效果：好,1,上身效果,好
439,尺寸不大不小刚刚合适,0,尺寸,合适
440,就是图案久了会掉色,0,图案,掉色
441,关键是价格太给力了,1,价格,给力
442,大小也很合适,1,大小,合适
443,短袖纯棉的还不错,1,短袖纯棉,不错
444,给老公买的大小也合适,1,大小,合适
445,不过还好样式不错,0,样式,不错
446,老公穿上正好,1,大小,正好
447,不错质量不是很好,1,质量,好
448,还有包装精美,1,包装,精美
449,发货快性价比高,0,性价比,高
450,而且面料是棉的,0,面料,棉的
451,这个性价比很高,0,性价比,高
452,8块多 蛮合适的比较薄一点,1,尺码,合适
453,质量还可以吧,1,质量,可以
454,整体评价：尺码标准,0,尺码,标准
455,这个价格买到棉的衣服,0,价格,便宜
456,t恤试了试穿着挺合适的,0,尺码,合适
457,这个T恤衫真的是纯棉的,0,T恤衫,纯棉
458,不过也可以 面料品质：棉线的,0,面料,棉线的
459,面料手感不错,1,面料手感,不错
460,面料品质：缩水太严重了,1,面料,缩水
461,衣服是薄款的,1,衣服,薄款
462,面料也还行,0,面料,行
463,面料柔软全棉的上身很舒服,0,面料,柔软
464,非常不错大小合适,0,大小,合适
465,码数不合适要换货,0,码数,合适
466,质量不错值得购买,0,质量,不错
467,穿着不合适,1,尺码,合适
468,用料挺单薄的,1,用料,单薄
469,做工精细没有薄款,1,做工,精细
470,服务态度真是不咋滴,1,服务态度,不咋滴
471,质量也还是不错的,1,质量,不错
472,质量也还可以,1,质量,可以
473,码子可能偏小,1,码子,小
474,大小穿着合适,1,大小,合适
475,非常满意便宜,0,价格,便宜
476,质量很好没问题,0,质量,好
477,面料品质：纯棉,0,面料,纯棉
478,整体上身感觉很合身,0,整体,合身
479,质量不错东西不错,0,质量,不错
480,布料超粗糙,0,布料,粗糙
481,衣服质量偏硬,0,衣服,硬
482,质量太差劲了啦,0,质量,差劲
483,整体评价：衣服还不错,1,衣服,不错
484,给儿子买的 纯棉的做工也很精细,0,做工,精细
485,纯棉的舒服,1,纯棉,舒服
486,不过质量很好,1,质量,好
487,穿的就更好更舒服了,1,面料,舒服
488,总体来说挺好的,1,总体,好
489, 布料挺柔滑的了,0,布料,柔滑
490,衣服质量还不错,0,衣服质量,不错
491,大家别买衣服收到了质量不错,0,质量,不错
492,大小很合适,0,大小,合适
493,一款性价比高的T恤,1,性价比,高
494,款式很好看,0,款式,好看
495,颜色花色漂亮,0,颜色花色,漂亮
496,布料不错哦,0,布料,不错
497,穿着也很舒服,1,面料,舒服
498,穿起来非常的舒服,1,面料,舒服
499,上身效果：可以,0,上身效果,可以
500,这个价位的东西已经非常不错了,0,东西,不错
501,衣服款式挺好,0,衣服款式,好
502,衣服非常好,1,衣服,好
503,穿着很舒服,1,面料,舒服
504,蘑菇头穿这个不好看,0,蘑菇头,好看
505,总体下来相当不错,0,总体,不错
506,这东西一般般吧,0,东西,一般般
507,不过摸着没短袖的棉软,0,短袖,绵软
508,衣服穿了一段时间，挺好的。,1,衣服,好
509,这个衣服感觉真心不错,0,衣服,不错
510,个人感觉值得购买,0,个人感觉,值得购买
511,物超所值～～～回来很棒,1,衣服,棒
512,颜色很显白,1,颜色,显白
513,不是滑滑的布料,1,布料,滑滑
514,也没有色差,0,色差,没有
515,衣服质量挺好的,1,衣服质量,好
516,衣服还是很不错的,1,衣服,不错
517,衣服质量很好,1,衣服质量,好
518,衣服很不错,1,衣服,不错
519,面料很舒服,0,面料,舒服
520,上身效果不错,0,上身效果,不错
521,质量和服务也一样是杠杠滴哦,0,质量,好
522,衣服还是挺好的,0,衣服,好
523,绿色有色差,1,绿色,有色差
524,但是色差太明显了,1,色差,明显
525,是有弹性 S掌柜人不错 ,0,弹性,好
526,但是服务态度与衣服款式都非常满意,0,衣服款式,满意
527,完全超出期望值,0,期望值,超出
528,质量不好 好硬的衣服啊,1,质量,好
529,穿起来很舒服,1,面料,舒服
530,款式也好看,1,款式,好看
531,质量很不错,0,质量,不错
532,衣服质量还可以,1,衣服质量,可以
533,宽松度正好,1,布料,宽松
534,衣服材质不是特别好,1,衣服材质,好
535,态度还不好,0,态度,好
536,布料粗糙了些,0,布料,粗糙
537,整体评价：衣服穿上很舒服,1,整体,舒服
538,衣服挺好的,1,衣服,好
539,衣服质量和款式我都比较喜欢,1,款式,喜欢
540,衣服直接就丢了,1,衣服,丢了
541,不是纯棉的,0,纯棉,不是
542,整体评价：大小合适,0,大小0,
543,整体评价：还好,0,整体,好
544,男朋友喜欢 材质特性：应该是一般的料子,0,材质,一般
545,不过可以藏肉肉 尺码推荐：正常就好 厚薄度：薄 面料品质：不太了解,0,面料品质,了解
546,我发现这衣服粗糙不说,0,衣服,粗糙
547,衣服穿着不错,1,衣服,不错
548,质量也可以,1,质量,可以
549,背后一点都不舒服 难受,0,面料,舒服
550,宝贝质量不错,0,宝贝质量,不错
551,整体评价：衣服很好,0,衣服,好
552,回头率超高 M 很有弹性,0,回头率,高
553,值得购买 舒适度很好,1,舒适度,好
554,尺寸刚刚好,0,尺寸,好
555,包装的挺好的,0,包装,好
556,面料摸着还是挺舒服的,0,面料,舒服
557,这质量杠杠的,0,质量,杠杠的
558,布料有点粗糙,1,布料,粗糙
559,衣服和图片简直差太远了,1,衣服和图片,远
560,色差特别厉害,1,色差,厉害
561,并没有想象中（模特身上）的宽松 ,1,面料,宽松
562,衣服的确可以,0,衣服,可以
563,料子也很好,0,料子,好
564,衣服穿上去人变漂亮了,0,衣服,漂亮
565,质量也很好,0,质量,好
566,质量比想象中的好,1,质量,好
567,价格也便宜,1,价格,便宜
568,评语；质量很好,0,质量,好
569,价格还行穿舒服,1,价格,行
570,衣服不错哦,1,衣服,不错
571,总体看很有性价比,1,性价比,好
572,老板态度很好,1,态度,好
573,整体还可以,0,整体,可以
574,穿着也特别舒服,0,面料,舒服
575,衣服还不错 有一说一宝贝可以的,0,衣服,不错
576,这两件衣服的性价还是比较高的,1,性价比,高
577,做工也挺精细,1,做工,精细
578,质量不错穿着挺舒服,1,质量,不错
579,非常好的衣服,0,衣服,好
580,这件衣服真的很舒服,0,衣服,舒服
581,性价比很高,1,性价比,高
582, 厚薄度：薄厚适中,1,厚薄,适中
583,衣服还不错,1,衣服,不错
584,质量OK布料也可以,1,质量,可以
585,质量和款式都很好,0,质量款式,好
586,收到衣服质量真的很令我惊喜,0,衣服质量,惊喜
587,面料摸起来十分的舒服 ,0,面料,舒服
588,黑的还是会掉点色,0,黑的,掉色
589,衣服很喜欢,0,衣服,喜欢
590,衣服图案像是被刮花了,1,衣服图案,刮花
591,态度也极差,1,态度,差
592,这是我体验最差的一次购物,1,体验,差
593,衣服面料也不好,1,衣服面料,好
594,便宜又好穿还不错,0,价格,便宜
595,便宜又实惠,0,价格,便宜
596,想要便宜的可以买这款宽松短袖,0,短袖,宽松
597,不过颜色有点点偏差没什么影响(我买到的是这样,1,颜色,偏差
598,质量不错 可以购买,1,质量,不错
599,相当的不错啊,1,衣服,不错
600,儿子穿着好帅气,0,设计,帅气
601,质量实再不错,1,价格,不错
602,价格也很实惠,1,价格,实惠
603,半袖质量真的没的说,0,半袖质量,没的说
604,夏天穿着吸汗透气,0,面料,透气
605,性价比很大,0,性价比,大
606,客户服务不错,1,服务,不错
607,个人感觉很好挺喜欢的,1,个人感觉,喜欢
608,拿来第一感觉就是这个衣服的质量是真的不错,0,衣服的质量,不错
609,衣服穿上很舒服,0,衣服,舒服
610,除了有异味剩下的都还不错,0,衣服,有异味
611,质量挺好的穿起来舒服,1,质量,好
612,我喜欢还不错,1,衣服,不错
613,个人爱好绿色,1,绿色,爱好
614,衣服很喜欢又买了一件,1,衣服,喜欢
615,真的超级垃圾,0,衣服,垃圾
616,衣服穿着很好,0,衣服,好
617,整体评价：不错不错 面料品质：款式很好看,1,款式,好看
618,质量也是理想中的,0,质量,好
619,价格也很便宜,0,价格,便宜
620,料子是喜欢的那种,0,料子,喜欢
621,衣服相当不错奥,1,衣服,不错
622,物流也给力,0,物流,给力
623,衣服质量不错,0,衣服质量,不错
624,穿在身上很舒适,0,面料,舒适
625,但是布料一般般,1,布料,一般般
626,上身效果好,1,上身效果,好
627,衣服穿起来舒适,1,衣服,舒适
628,质量一般般了,1,质量,一般般
629,价格便宜凑合吧,0,价格,凑合
630,穿着比较舒服,0,面料,舒服
631,穿着还不错&hellip;,1,衣服,不错
632,衣服属于宽松版的,1,衣服,宽松
633,上身效果：非常满意,1,上身效果,满意
634,    尺码推荐：正确,1,尺码,正确
635,衣服手感不错,0,衣服,不错
636,衣服质量超好,0,衣服,好
637,服务也不错,1,服务,不错
638,  3、老板性格好,1,性格,好
639,戴上去也很舒服,1,面料,舒服
640,、质量没得说了,1,质量,没得说
641,质量太差了,0,质量,差
642,服务很周到,0,服务,周到
643,东西很喜欢,0,东西,喜欢
644,质量也很好的,0,质量,好
645,衣服蛮好的,1,衣服,好
646,上身效果：好看 给我弟买的,1,上身效果,好看
647,其他颜色都集齐了,1,颜色,集齐
